,0
0,Arizona
1,Arkansas
2,California
3,Colorado
4,Connecticut
5,Delaware
6,Idaho
7,Illinois
8,Indiana
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Montana
19,Nevada
20,New Jersey
21,North Carolina
22,Pennsylvania
23,Rhode Island
24,South Carolina
25,Tennessee
26,Utah
27,Vermont
28,West Virginia
29,Wisconsin
30,Wyoming
